v_id;role
DTL$RNCO_NSO_PURCB_0420458_1_T5_FCT;SR_0420458_r1,SR_0420458_r1_2,SR_0420458_r1_3,SR_0420458_r1_4
DTL$RNCO_NSO_PURCB_0420458_2_T5_FCT;SR_0420458_r2
DTL$RNCO_NSO_PURCB_0420458_3_T5_FCT;SR_0420458_r3
DTL$RNCO_NSO_PURCB_0420458_FCT;SR_0420458,SR_0420458_2
DTL$RNCO_NSO_PURCB_0420459_2_T6_FCT;SR_0420459_R2
DTL$RNCO_NSO_PURCB_0420459_FCT;SR_0420459_R1_1
DTL$RNCO_NSO_PURCB_DOC_IN_FCT;sr_soprovod
DTL$RNCO_NSO_PURCB_EPS_CHASTI_FCT;EPS_chasti
DTL$RNCO_NSO_PURCB_INFO_1_FCT;sr_nfo_sopr_1
DTL$RNCO_NSO_PURCB_INFO_2_FCT;sr_nfo_sopr_2
DTL$RNCO_NSO_PURCB_INFO_3_FCT;sr_nfo_sopr_3
DTL$RNCO_NSO_PURCB_INFO_ORG_09_23_0_FCT;SR_INFO
DTL$RNCO_NSO_PURCB_INFO_ORG_09_23_1_FCT;SR_Sved_ObOtchOrg_OtvLicza
DTL$RNCO_NSO_PURCB_INFO_ORG_0_FCT;SR_INFO
DTL$RNCO_NSO_PURCB_INFO_ORG_1_FCT;SR_Sved_ObOtchOrg_OtvLicza
DTL$RNCO_NSO_PURCB_OFR_CHASTI_FCT;OFR_chasti
